,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
57,58,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.8789236718041735,0.3249430584247213,0.3060684711410229,0.5917156629050524,1.392760916008818,0.353673393717628,0.2515846531421677,0.07484506594629403,0.0,0.17530942670003036,0.5500114765964419,0.6454791037658829,1.5215671734016922,0.5115383936293512,1.0158624220906525,1.1010682062958494,0.6549958507684028,0.07742994862068643,0.01163550329300067
58,59,4,0,1,1,4,0,0,0,0,2,1,5,4,0,0,3,0,2,0,0.7947631407035374,0.3208750463478793,0.3247488390982589,0.5088758232249901,1.4254038879172841,0.36264279534602295,0.27937214188635817,0.08584494235210371,0.0,0.18291223052096228,0.5791867507103241,0.6518247788538787,1.5045641541736412,0.5097268570011568,0.8572876388230597,1.114147995126153,0.6310327171278054,0.09258964987609276,0.029274149407810143
59,60,0,1,1,1,4,0,2,0,0,0,5,0,6,0,1,1,4,0,0,0.7104825467414884,0.3138937443714571,0.3380864099434877,0.4391157723725456,1.4223034412141953,0.4336070060199973,0.28903720182912984,0.09407277927879942,0.0,0.2089764641486989,0.5936296060889283,0.6366156399537282,1.4911347705568616,0.5025901795647094,0.7231244592734569,1.0986987305128686,0.5927715097902668,0.13585112205737104,0.051676465914514365
60,61,1,0,0,0,1,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0.7730105761246193,0.3125165527836806,0.3846672669808005,0.481381429100459,1.4440030368838883,0.5817681021239443,0.3437929268854916,0.09915779437463712,0.0,0.24786623585293555,0.5914861309744914,0.6006674082307946,1.5010682062958374,0.4929463071840878,0.6448787894837409,1.096689443296956,0.5706516941219322,0.21689001889252424,0.07646944576873915
61,62,2,0,0,1,1,2,2,1,0,0,0,1,1,0,1,3,1,0,0,0.8663947596103441,0.2789272030658907,0.3797941275143284,0.5873474936890162,1.4225435669259463,0.5396648833800248,0.3928915726471161,0.1008775182299626,0.0,0.2522273425501993,0.5004325794089102,0.5172307855283425,1.4908946448420968,0.485096315129308,0.5764959302233876,0.988293871497356,0.5463954658610533,0.20735208432738614,0.07297349789019593
62,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0772251355130251,0.2597206772957357,0.3877747762061857,0.6405706516952208,1.391645037696127,0.5173649734272181,0.462757561311709,0.0991577943746318,0.0,0.274679096703812,0.3947596094426373,0.4216854706285256,1.4700319579065848,0.4848244080722317,0.5846955170646311,0.8760633508131406,0.5413492946305496,0.16781962321579869,0.0575948584848307
63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.2918268976124951,0.315514592934818,0.4090435580983041,0.7518759821336474,1.3875664318378425,0.5347034624008762,0.5420449529460398,0.09407277927844326,0.0,0.3309779825911754,0.32234051944900705,0.3376485336440096,1.399198403869068,0.4740010946903794,0.6482440807252843,0.8523050302814212,0.5136924625242045,0.1887282165385216,-0.21410032310889449
64,65,1,1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1.4702297084953848,0.4083055246579264,0.4662429154095555,0.8943164362534972,1.299295513533938,0.5632431096279906,0.6213358758408534,0.08584494235201356,0.0,0.3735649840212752,0.2804774264182548,0.26482334869446866,1.2895527658590975,0.4227342549920472,0.8379928315412191,0.8984797923628776,0.4478344545081825,0.3070678178599593,-0.2825255574942673
65,66,4,0,1,3,1,3,0,0,0,1,0,0,3,0,2,0,0,0,0,1.5887882479656028,0.5406041986688379,0.5686777195121557,1.060465773258063,1.2976287585857025,0.6146158871409453,0.6931405265109749,0.07484506594624829,0.0,0.4319049384678606,0.26684322969148866,0.20439641930196475,1.1745925808213364,0.3632607659303053,0.8914102088740377,0.9756943340927258,0.3763087734164868,0.5365255928102073,-0.2636827515567433
66,67,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.6652259123913424,0.6780408566839256,0.6890689831741348,1.250119180042052,1.3425605169782315,0.5948267033917807,0.7232939597781519,0.06159224535190355,0.0,0.48324240337597707,0.26532831894611064,0.15903737839309784,1.0633649381145989,0.30025248512435665,0.9224817698674386,1.005042639972018,0.3043805286298591,0.8433320973953826,-0.0812366474145847
